"","Plot.Number","Grid.Ref","LUX","Overstorey.Species","Weather","Stem.Count","File.Name","Mean.Reading","pH.Readings","Plot_number.1","Soil.Moisture_1","Soil.Moisture_2","Soil.Moisture_3","Soil.Moisture_4","Transect","Stand.Type","CanOpen","LAI","Bryophytes","Vascular.Plants","Fungi","Lichens","Alpha.Diversity","Soil.Moisture.Mean","Stocking.Density"
"1",1,"NM 851 263",94.7,"Sitka spruce","Raining, overcast",24,"EE5_2907.JPG",0,4.5,1,25.4,26.9,19,23.4,"1","Pure",0.231383000429694,1.70142947753254,5,0,0,0,5,23.675,0.0763943726841098
"2",2,"NM 851 263",111.8,"Sitka spruce","Raining, overcast",43,"EE5_2911.JPG",0,5,2,24.2,32.2,38.6,43.8,"1","Pure",0.516057775614798,1.09695145637726,2,1,1,0,4,34.7,0.13687325105903
"3",3,"NM 851 262",99.6,"Sitka spruce","Raining, overcast",54,"EE5_2913.JPG",0,4.5,3,14.6,10.9,7,21,"1","Pure",0.450116345448163,1.18233694366751,4,1,1,0,6,13.375,0.171887338539247
"4",4,"NM 851 262",318,"Scots pine","Raining, overcast",30,"EE5_2914.JPG",0,4.5,4,15.6,64.6,58.7,13.2,"1","Mixed",0.689380606309368,0.599201696861463,9,4,0,0,13,38.025,0.0954929658551372
"5",5,"NM 851 262",65.9,"Sitka spruce","Raining, overcast",63,"EE5_2915.JPG",0,4.5,5,22.4,52,26.6,31,"1","Pure",0.400073406225449,1.24346463126893,1,2,2,0,5,33,0.200535228295788
"6",6,"NM 850 264",169.3,"Larch","Lightly raining",27,"EE5_2918.JPG",0,5.5,6,11.3,42.3,84.3,37,"2","Pure",0.614112819958316,0.705193227716174,4,8,0,0,12,43.725,0.0859436692696235
"7",7,"NM 850 263",270,"Larch","Lightly raining",30,"EE5_2919.JPG",0,5.5,7,20.6,21.5,14.2,20.8,"2","Pure",0.56457906751306,0.756757047068188,4,7,0,0,11,19.275,0.0954929658551372
"8",8,"NM 850 264",1430,"Scots pine","Lightly raining",21,"EE5_2920.JPG",0,5,8,66.8,53.7,64.2,85,"2","Mixed",0.582913599955774,0.611072258421075,6,4,1,0,11,67.425,0.066845076098596
"9",9,"NM 850 264",1618,"Sitka spruce","Lightly raining",33,"EE5_2921.JPG",0,5.5,9,85,85,85,85,"2","Mixed",0.711118397331717,0.754359176577218,4,6,0,0,10,85,0.105042262440651
"10",10,"NM 850 264",1756,"Sitka spruce","Overcast but dry",14,"EE5_2923.JPG",0,4.5,10,85,52.2,85,85,"2","Mixed",0.538346818271089,0.848694503487555,5,4,0,0,9,76.8,0.0445633840657307
"11",11,"NM 849 264",20200,"Scots pine","Overcast but dry",42,"EE5_2926.JPG",0,4,11,60,65.4,85,85,"3","Mixed",0.677049331113444,0.624356986404532,5,6,1,0,12,73.85,0.133690152197192
"12",12,"NM 850 264",88.1,"Sitka spruce","Overcast but dry",52,"EE5_2928.JPG",0,5,12,19.2,6.4,30.8,47.9,"3","Pure",0.280511116399276,1.48136480073883,2,0,1,0,3,26.075,0.165521140815571
"13",13,"NM 850 264",276,"Sitka spruce","Overcast but dry",48,"EE5_2930.JPG",0,4.5,13,24.9,52.4,65.5,14.1,"3","Pure",0.310032402814106,1.37442236174455,4,4,2,1,11,39.225,0.15278874536822
"14",14,"NM 850 264",1950,"Sitka spruce","Overcast but dry",42,"EE5_2931.JPG",0,5,14,51.7,85,85,85,"3","Pure",0.787633873207789,0.542756285251474,6,6,2,0,14,76.675,0.133690152197192
"15",15,"NM 849 264",187,"Sitka spruce","Overcast but dry",33,"EE5_2932.JPG",0,4.5,15,18.5,52.6,27,47,"3","Pure",0.485493440310642,1.26695584599671,5,0,0,0,5,36.275,0.105042262440651
"16",16,"NM 849 264",282,"Sitka spruce","Overcast but dry",35,"EE5_2933.JPG",0,4.5,16,23.9,20,35.9,29.6,"4","Pure",0.355295644998831,1.51910318810089,4,1,0,0,5,27.35,0.111408460164327
"17",17,"NM 849 264",39.8,"Sitka spruce","Overcast but dry",63,"EE5_2934.JPG",0,4.5,17,18.7,20.7,18.4,12,"4","Pure",0.247180071269275,1.47715828727068,2,0,1,0,3,17.45,0.200535228295788
"18",18,"NM 849 264",115,"Sitka spruce","Overcast but dry",49,"EE5_2935.JPG",0,4.5,18,41.2,24.7,34,38.2,"4","Pure",0.416584501204475,1.33689712115743,2,0,1,0,3,34.525,0.155971844230057
"19",19,"NM 848 265",152,"Sitka spruce","Overcast but dry",49,"EE5_2936.JPG",0,5.5,19,23.6,29.6,22.6,33.2,"4","Pure",0.386717849159433,1.2967330863309,2,0,3,0,5,27.25,0.155971844230057
"20",20,"NM 848 265",338,"Sitka spruce","Overcast but dry",46,"EE5_2937.JPG",0,4.5,20,30.2,21.4,23.8,29,"4","Pure",0.243407790524677,1.41335540294005,3,0,1,0,4,26.1,0.146422547644544
"21",21,"NM 848 265",292,"Sitka spruce","Overcast but dry",45,"EE5_2941.JPG",0,6,21,28.2,27.3,56,54,"5","Pure",0.468056577772188,1.32800325350236,4,0,0,0,4,41.375,0.143239448782706
"22",22,"NM 848 265",164,"Sitka spruce","Overcast but dry",52,"EE5_2942.JPG",0,4.5,22,40.4,70.3,40.2,49.8,"5","Pure",0.447341820495931,1.12519998878928,3,0,2,0,5,50.175,0.165521140815571
"23",23,"NM 848 265",147,"Sitka spruce","Overcast but dry",62,"EE5_2943.JPG",0,4.5,23,19,9.1,14.8,5.9,"5","Pure",0.492599747209431,1.03286546165517,3,0,3,0,6,12.2,0.19735212943395
"24",24,"NM 848 265",260,"Sitka spruce","Overcast but dry",59,"EE5_2945.JPG",0,4.5,24,22.8,18.2,29.6,23.5,"5","Pure",0.49445808221241,1.23042992256433,8,1,2,2,13,23.525,0.187802832848436
"25",25,"NM 848 265",149,"Sitka spruce","Overcast but dry",60,"EE5_2946.JPG",0,4.5,25,47.6,26.8,27.3,17,"5","Pure",0.444020469803866,1.00132506025359,5,0,3,1,9,29.675,0.190985931710274
